10872	"2020-02-06T13:51:48+00:00"
10873	"2020-02-06T14:03:28+00:00"
10874	"2020-02-06T14:25:00+00:00"
10875	"2020-02-06T15:38:58+00:00"
10877	"2020-02-06T16:06:42+00:00"
10878	"2020-02-06T17:20:49+00:00"
10879	"2020-02-06T18:27:43+00:00"
10885	"2020-02-07T10:59:21+00:00"
10903	"2020-02-08T09:40:06+00:00"
10904	"2020-02-08T14:55:59+00:00"
10905	"2020-02-08T21:55:20+00:00"
10906	"2020-02-09T09:38:25+00:00"
10907	"2020-02-09T13:08:44+00:00"
10909	"2020-02-09T20:41:41+00:00"
10912	"2020-02-10T08:26:50+00:00"
10915	"2020-02-10T08:53:11+00:00"
10916	"2020-02-10T12:37:31+00:00"
10918	"2020-02-10T13:42:45+00:00"
10922	"2020-02-10T15:40:03+00:00"
10923	"2020-02-11T15:10:22+00:00"
10926	"2020-02-11T17:18:39+00:00"
10927	"2020-02-11T17:33:36+00:00"
10928	"2020-02-11T17:37:52+00:00"
10933	"2020-02-12T14:48:54+00:00"
10935	"2020-02-13T09:21:41+00:00"
10937	"2020-02-13T09:36:31+00:00"
10940	"2020-02-13T10:25:28+00:00"
10941	"2020-02-13T11:59:56+00:00"
10943	"2020-02-13T14:09:54+00:00"
10944	"2020-02-13T14:40:36+00:00"
10945	"2020-02-13T15:09:29+00:00"
10947	"2020-02-13T18:08:48+00:00"
10948	"2020-02-13T21:55:42+00:00"
10949	"2020-02-14T08:29:09+00:00"
10950	"2020-02-14T13:24:30+00:00"
10951	"2020-02-14T21:29:27+00:00"
10952	"2020-02-15T07:52:13+00:00"
10953	"2020-02-15T21:43:12+00:00"
10954	"2020-02-16T11:11:19+00:00"
10956	"2020-02-16T14:31:34+00:00"
10959	"2020-02-16T22:25:46+00:00"
10960	"2020-02-17T08:18:53+00:00"
11013	"2020-02-27T16:37:52+00:00"
11014	"2020-02-28T05:03:33+00:00"
11015	"2020-02-28T14:39:57+00:00"
11016	"2020-02-28T22:25:04+00:00"
11017	"2020-02-29T10:36:43+00:00"
11018	"2020-02-29T22:01:25+00:00"
11020	"2020-03-01T08:45:12+00:00"
11021	"2020-03-01T22:30:38+00:00"
11022	"2020-03-02T08:55:15+00:00"
11139	"2020-04-23T09:34:55+00:00"
11140	"2020-04-23T14:11:23+00:00"
11141	"2020-04-23T17:28:07+00:00"
11142	"2020-04-24T17:13:37+00:00"
11143	"2020-04-25T11:36:08+00:00"
11102	"2020-04-03T08:19:13+00:00"
11103	"2020-04-03T15:37:28+00:00"
11104	"2020-04-03T23:58:10+00:00"
11105	"2020-04-04T07:32:37+00:00"
11106	"2020-04-04T16:21:55+00:00"
11107	"2020-04-05T02:11:52+00:00"
11108	"2020-04-05T14:03:14+00:00"
11109	"2020-04-05T22:35:58+00:00"
11110	"2020-04-06T09:31:40+00:00"
11111	"2020-04-06T17:38:47+00:00"
11112	"2020-04-07T07:25:44+00:00"
11113	"2020-04-07T11:42:58+00:00"
11114	"2020-04-07T20:08:50+00:00"
11115	"2020-04-08T08:11:08+00:00"
11116	"2020-04-08T20:16:30+00:00"
11117	"2020-04-10T16:22:01+00:00"
11118	"2020-04-12T18:43:05+00:00"
11139	"2020-04-23T09:34:55+00:00"
11140	"2020-04-23T14:11:23+00:00"
11141	"2020-04-23T17:28:07+00:00"
11142	"2020-04-24T17:13:37+00:00"
11143	"2020-04-25T11:36:08+00:00"
11145	"2020-04-27T10:22:25+00:00"
11146	"2020-04-27T17:33:52+00:00"
11147	"2020-04-28T03:58:00+00:00"
11148	"2020-04-28T10:33:03+00:00"
11149	"2020-04-28T18:38:01+00:00"
11152	"2020-04-29T10:23:15+00:00"
11158	"2020-04-29T19:13:30+00:00"
11159	"2020-04-30T07:21:27+00:00"
11163	"2020-04-30T15:25:44+00:00"
11164	"2020-05-01T02:18:48+00:00"
11165	"2020-05-01T10:46:31+00:00"
11184	"2020-05-04T20:05:51+00:00"
11170	"2020-05-01T20:46:46+00:00"
11171	"2020-05-02T06:51:39+00:00"
11172	"2020-05-02T19:44:34+00:00"
11173	"2020-05-03T11:04:20+00:00"
